Id,Condition,Sex,Centroid.Size,Log.Centroid.Size,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,Raw_X1,Raw_Y1,Raw_X2,Raw_Y2,Raw_X3,Raw_Y3,Raw_X4,Raw_Y4,Raw_X5,Raw_Y5,Raw_X6,Raw_Y6,Raw_X7,Raw_Y7,Raw_X8,Raw_Y8,Raw_X9,Raw_Y9,Raw_X10,Raw_Y10,Raw_X11,Raw_Y11,Raw_X12,Raw_Y12,Raw_X13,Raw_Y13,Raw_X14,Raw_Y14,Raw_X15,Raw_Y15
C_026M-WING,cold,M,2.473313425,0.9055587194,-0.2459563957,0.07067774387,-0.2402654068,0.02692200958,-0.2570286465,-0.009163361257,-0.2063515444,-0.05676514422,-0.1942053806,-0.03898750925,-0.1669109106,0.02721468179,-0.1348117141,0.09555430502,-0.06727040616,0.02262564772,-0.07091914629,-0.004768053997,0.08122808905,-0.0306065671,0.06951104803,-0.09876072271,0.3237051114,0.1674640344,0.4722430044,0.05399287389,0.45422264,-0.03162048848,0.1828096583,-0.1937794492,0.63158,1.84686,0.59016,1.74591,0.50992,1.68896,0.5604,1.5246,0.60828,1.54789,0.74806,1.65661,0.90078,1.76403,0.95643,1.5246,0.91501,1.47024,1.2101,1.22822,1.10138,1.09621,1.97369,1.35635,2.15359,0.93055,2.00993,0.76877,1.22822,0.75324
C_015M-WING,cold,M,2.513855653,0.9218176914,-0.2496431863,0.06656652424,-0.241360561,0.02537068197,-0.2632016954,-0.01176441446,-0.2084462815,-0.05400414377,-0.1959417758,-0.03766238419,-0.1656859776,0.0265730906,-0.13419954,0.09792552776,-0.0641430646,0.02258724022,-0.06876567854,-0.002826381103,0.08180353116,-0.02880769205,0.07721383735,-0.09510385675,0.3191422511,0.1600458265,0.4736188736,0.0493218586,0.4547361164,-0.03054568908,0.1848731511,-0.1876761885,0.51251,1.53883,0.54357,1.43788,0.49827,1.33952,0.64582,1.24763,0.67299,1.29164,0.73253,1.45989,0.79336,1.64625,0.98749,1.47542,0.98231,1.4107,1.36541,1.38353,1.37058,1.21657,1.91157,1.91545,2.32572,1.67732,2.29855,1.47283,1.66308,1.01208
S_055F-WING,standard,F,2.534573312,0.9300253043,-0.2510592581,0.07493000507,-0.2408055435,0.02477516694,-0.2653299928,-0.01232557163,-0.2049362892,-0.06270884764,-0.1904793545,-0.04287999446,-0.1649675435,0.02527392426,-0.1350111284,0.09871977173,-0.06207970087,0.02316282338,-0.06508202318,-0.004826528414,0.07397554959,-0.03106341329,0.06492547687,-0.09292731898,0.3318412049,0.1557705015,0.4724780397,0.05102723333,0.4573601713,-0.0264894134,0.1791703917,-0.1804383384,0.53598,1.04748,0.60942,0.94054,0.5888,0.82974,0.77949,0.77176,0.79366,0.83231,0.78593,1.01656,0.78335,1.21755,1.02815,1.11319,1.04877,1.0449,1.39922,1.12092,1.43916,0.9676,1.81666,1.81151,2.24828,1.70586,2.28951,1.51002,1.79218,0.87612
C_079F-WING,cold,F,2.542232746,0.9330427289,-0.2461184594,0.07189780963,-0.2424374643,0.02770347991,-0.2609118471,-0.007777708823,-0.206500567,-0.0572833669,-0.1943523193,-0.0371241217,-0.1673492606,0.0269538795,-0.1295733642,0.09713815015,-0.06436979024,0.01959229155,-0.06881245761,-0.005341558413,0.07809610433,-0.0335141406,0.07145905192,-0.09990839258,0.3220390719,0.1667643732,0.4704707886,0.05728763871,0.4541670538,-0.03160884812,0.1841934592,-0.1947794856,0.83089,1.97887,0.93961,2.00864,1.0082,2.0837,1.17386,1.99699,1.13633,1.9504,1.00691,1.83003,0.87231,1.67861,1.11433,1.5906,1.16998,1.62296,1.36541,1.29681,1.51813,1.37058,1.10009,0.53969,1.49095,0.28084,1.68896,0.39732,1.84298,1.18421
C_022M-WING,cold,M,2.551661412,0.936744681,-0.2477590496,0.07297289404,-0.2397238385,0.02528597749,-0.2586011623,-0.01108119742,-0.2068014214,-0.05951850486,-0.1947146472,-0.04032210648,-0.1657776191,0.02563412644,-0.1351368031,0.09855816194,-0.06513224801,0.02283961328,-0.07039502593,-0.004674420426,0.08247285391,-0.03097441165,0.06989102907,-0.09650409347,0.3225696445,0.1655337268,0.4730785031,0.05332624192,0.4562878073,-0.03421696521,0.1797419773,-0.1868590424,0.54875,1.44177,0.5811,1.3227,0.54228,1.22563,0.68594,1.11562,0.71182,1.16739,0.76877,1.34211,0.8283,1.53495,1.02502,1.36023,1.01855,1.28905,1.41329,1.26057,1.39776,1.09103,1.97369,1.81968,2.38396,1.57248,2.36326,1.34599,1.69932,0.88913
S_020F-WING,standard,F,2.564291871,0.9416823667,-0.2462894285,0.0749765099,-0.2440599183,0.02952454128,-0.267009693,-0.007826760087,-0.2099082404,-0.05988493737,-0.1951569532,-0.04116164755,-0.1647710172,0.02694929678,-0.133548427,0.0956058858,-0.06294752365,0.01754059282,-0.06699153539,-0.005572854941,0.082815358,-0.03213763034,0.07127775503,-0.0950631741,0.322162091,0.155382848,0.4713442589,0.05021229186,0.4544402266,-0.02467030371,0.1886430471,-0.1838746584,0.71507,0.72795,0.6558,0.82845,0.55401,0.87612,0.60297,1.06809,0.66095,1.04877,0.82201,0.94569,0.98563,0.84262,1.02686,1.10932,0.98563,1.15313,1.26909,1.42112,1.15571,1.53965,2.046,1.3567,2.21736,1.79218,2.07564,1.92876,1.28197,1.89526
S_071F-WING,standard,F,2.564918635,0.941926757,-0.2497855749,0.07952583228,-0.2396285313,0.02966396834,-0.2673557864,-0.00653093492,-0.20790854,-0.06470259411,-0.1930489895,-0.04140117167,-0.1671658884,0.02683996393,-0.1315906026,0.1035607336,-0.05865659957,0.02093087427,-0.06363067099,-0.007242594269,0.07560440245,-0.03488869193,0.0744231193,-0.1045787306,0.3211034796,0.1588693585,0.4692832877,0.05459569007,0.4518800974,-0.02334684131,0.1864767973,-0.1912948621,0.67126,1.73292,0.65065,1.60408,0.55144,1.54223,0.64163,1.34897,0.69832,1.39149,0.82201,1.53192,0.97662,1.68396,1.07711,1.41983,1.03975,1.3567,1.34897,1.16472,1.28326,0.99852,2.113,1.40824,2.37455,1.02429,2.26246,0.85293,1.47395,0.6893
C_087M-WING,cold,M,2.571346597,0.9444297295,-0.244968968,0.06785063824,-0.2397623251,0.02402734416,-0.2607053201,-0.01068640034,-0.2027141099,-0.05540837482,-0.1906437697,-0.03637167711,-0.1645116321,0.02671146939,-0.1312708825,0.09275267285,-0.06604515298,0.0201325813,-0.0702684677,-0.00515451611,0.06500448574,-0.03126981803,0.06051047532,-0.09314495727,0.3200078879,0.1633053836,0.4834092182,0.05296704836,0.4632285974,-0.03159116447,0.1787299636,-0.1841202297,0.70276,1.86627,0.65099,1.76532,0.55651,1.72132,0.61605,1.54272,0.66911,1.56601,0.81536,1.66308,0.98102,1.75626,1.01596,1.50777,0.97067,1.45989,1.22175,1.2101,1.12339,1.08456,2.04488,1.25928,2.23513,0.78947,2.07076,0.63805,1.24504,0.72088
C_093M-WING,cold,M,2.571818265,0.944613145,-0.2477338713,0.06496067121,-0.2432798866,0.02271281508,-0.2644651768,-0.01157325956,-0.2049260991,-0.05673529736,-0.1919461441,-0.03809816217,-0.1654493915,0.02622523594,-0.1278478073,0.0918199473,-0.06651964621,0.02377343366,-0.0713275569,-0.003080022849,0.07543491225,-0.02663546138,0.07168758401,-0.09201389412,0.3273622243,0.1661778825,0.4772838115,0.04948984389,0.4559535628,-0.03395968744,0.175773485,-0.1830640447,0.93572,0.70535,0.87101,0.79336,0.77136,0.82183,0.8063,1.01079,0.86325,0.99785,1.02502,0.92149,1.2101,0.86195,1.2088,1.0975,1.15315,1.14021,1.39129,1.43918,1.27093,1.55695,2.20407,1.50907,2.2869,1.99052,2.10182,2.11218,1.31105,1.91028
C_076M-WING,cold,M,2.57549928,0.9460434107,-0.245615121,0.0669441246,-0.2395831241,0.02412921058,-0.2622364035,-0.0116206461,-0.2079651381,-0.06087959283,-0.1935583445,-0.0396798298,-0.1654504288,0.02675167381,-0.131816891,0.09779314283,-0.06445324203,0.02362039684,-0.06865940555,-0.001865310116,0.07686558866,-0.02815164825,0.06968188471,-0.09550984805,0.3226613625,0.1674402428,0.4783117535,0.0516677326,0.4548956369,-0.03557755586,0.1769218723,-0.185062093,0.65876,0.7623,0.62122,0.86713,0.52675,0.92149,0.59146,1.0988,0.6497,1.06773,0.79336,0.94996,0.95514,0.8283,1.01985,1.07809,0.97973,1.13115,1.27999,1.36541,1.18292,1.51036,2.07464,1.21398,2.29078,1.66437,2.13288,1.83521,1.32011,1.84298
