disc,distance,value,area,condition,relativedistance,adjreldistance
MAX_17C_14dec_12.oif,123.054,1577.271,140990.992,cold,54.691,46.05960203
MAX_17C_14dec_12.oif,124.297,1569.445,140990.992,cold,55.934,47.10643031
MAX_17C_14dec_12.oif,125.54,1562.471,140990.992,cold,57.177,48.15325859
MAX_17C_14dec_12.oif,126.783,1560.418,140990.992,cold,58.42,49.20008687
MAX_17C_14dec_12.oif,128.026,1570.202,140990.992,cold,59.663,50.24691514
MAX_17C_14dec_12.oif,129.269,1578.8,140990.992,cold,60.906,51.29374342
MAX_17C_14dec_12.oif,130.512,1530.47,140990.992,cold,62.149,52.3405717
MAX_17C_14dec_12.oif,131.755,1507.202,140990.992,cold,63.392,53.38739998
MAX_17C_14dec_12.oif,132.998,1497.998,140990.992,cold,64.635,54.43422825
MAX_17C_14dec_12.oif,134.241,1476.462,140990.992,cold,65.878,55.48105653
MAX_17C_14dec_12.oif,135.484,1459.558,140990.992,cold,67.121,56.52788481
MAX_17C_14dec_12.oif,136.727,1441.66,140990.992,cold,68.364,57.57471309
MAX_17C_14dec_12.oif,137.97,1428.283,140990.992,cold,69.607,58.62154136
MAX_17C_14dec_12.oif,139.212,1421.614,140990.992,cold,70.849,59.66752746
MAX_17C_14dec_12.oif,140.455,1399.449,140990.992,cold,72.092,60.71435574
MAX_17C_14dec_12.oif,141.698,1435.24,140990.992,cold,73.335,61.76118402
MAX_17C_14dec_12.oif,142.941,1446.909,140990.992,cold,74.578,62.80801229
MAX_17C_14dec_12.oif,144.184,1502.604,140990.992,cold,75.821,63.85484057
MAX_17C_14dec_12.oif,145.427,1487.551,140990.992,cold,77.064,64.90166885
MAX_17C_14dec_12.oif,146.67,1427.096,140990.992,cold,78.307,65.94849713
MAX_17C_14dec_12.oif,147.913,1398.006,140990.992,cold,79.55,66.9953254
MAX_17C_14dec_12.oif,149.156,1461.874,140990.992,cold,80.793,68.04215368
MAX_17C_14dec_12.oif,150.399,1398.958,140990.992,cold,82.036,69.08898196
MAX_17C_14dec_12.oif,151.642,1339.807,140990.992,cold,83.279,70.13581024
MAX_17C_14dec_12.oif,152.885,1376.41,140990.992,cold,84.522,71.18263851
MAX_17C_14dec_12.oif,154.128,1367.952,140990.992,cold,85.765,72.22946679
MAX_17C_14dec_12.oif,155.371,1378.02,140990.992,cold,87.008,73.27629507
MAX_17C_14dec_12.oif,156.614,1388.444,140990.992,cold,88.251,74.32312335
MAX_17C_14dec_12.oif,157.857,1447.041,140990.992,cold,89.494,75.36995162
MAX_17C_14dec_12.oif,159.1,1466.514,140990.992,cold,90.737,76.4167799
MAX_17C_14dec_12.oif,160.343,1493.549,140990.992,cold,91.98,77.46360818
MAX_17C_14dec_12.oif,161.586,1526.301,140990.992,cold,93.223,78.51043646
MAX_17C_14dec_12.oif,162.829,1472.166,140990.992,cold,94.466,79.55726473
MAX_17C_14dec_12.oif,164.072,1431.044,140990.992,cold,95.709,80.60409301
MAX_17C_14dec_12.oif,165.315,1402.303,140990.992,cold,96.952,81.65092129
MAX_17C_14dec_12.oif,166.558,1398.787,140990.992,cold,98.195,82.69774957
MAX_17C_14dec_12.oif,167.801,1386.5,140990.992,cold,99.438,83.74457784
MAX_17C_14dec_12.oif,169.044,1378.811,140990.992,cold,100.681,84.79140612
MAX_17C_14dec_12.oif,170.287,1357.327,140990.992,cold,101.924,85.8382344
MAX_17C_14dec_12.oif,171.53,1380.933,140990.992,cold,103.167,86.88506268
MAX_17C_14dec_12.oif,172.773,1374.905,140990.992,cold,104.41,87.93189095
MAX_17C_14dec_12.oif,174.016,1356.713,140990.992,cold,105.653,88.97871923
MAX_17C_14dec_12.oif,175.259,1358.59,140990.992,cold,106.896,90.02554751
MAX_17C_14dec_12.oif,176.502,1347.049,140990.992,cold,108.139,91.07237579
MAX_17C_14dec_12.oif,177.745,1345.896,140990.992,cold,109.382,92.11920407
